,checkpoint,recipe,attack_success
0,pretrained/bert-base-uncased-ag_news-ORIG+ORIG\checkpoint-10000,TextFoolerJin2019,0.81
1,pretrained/bert-base-uncased-ag_news-ORIG+ORIG\checkpoint-10000,DeepWordBugGao2018,0.78
2,pretrained/bert-base-uncased-ag_news-ORIG+ORIG\checkpoint-10000,Pruthi2019,0.15
3,pretrained/bert-base-uncased-ag_news-ORIG+ORIG\checkpoint-10000,TextBuggerLi2018,0.52
4,pretrained/bert-base-uncased-ag_news-ORIG+INV\checkpoint-20000,TextFoolerJin2019,0.68
5,pretrained/bert-base-uncased-ag_news-ORIG+INV\checkpoint-20000,DeepWordBugGao2018,0.54
6,pretrained/bert-base-uncased-ag_news-ORIG+INV\checkpoint-20000,Pruthi2019,0.15
7,pretrained/bert-base-uncased-ag_news-ORIG+INV\checkpoint-20000,TextBuggerLi2018,0.43
8,pretrained/bert-base-uncased-ag_news-ORIG+SIB\checkpoint-5000,TextFoolerJin2019,0.76
9,pretrained/bert-base-uncased-ag_news-ORIG+SIB\checkpoint-5000,DeepWordBugGao2018,0.65
10,pretrained/bert-base-uncased-ag_news-ORIG+SIB\checkpoint-5000,Pruthi2019,0.06
11,pretrained/bert-base-uncased-ag_news-ORIG+SIB\checkpoint-5000,TextBuggerLi2018,0.4
12,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB\checkpoint-25000,TextFoolerJin2019,0.84
13,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB\checkpoint-25000,DeepWordBugGao2018,0.79
14,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB\checkpoint-25000,Pruthi2019,0.18
15,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB\checkpoint-25000,TextBuggerLi2018,0.59
16,pretrained/bert-base-uncased-ag_news-ORIG+TextMix\checkpoint-5000,TextFoolerJin2019,0.72
17,pretrained/bert-base-uncased-ag_news-ORIG+TextMix\checkpoint-5000,DeepWordBugGao2018,0.62
18,pretrained/bert-base-uncased-ag_news-ORIG+TextMix\checkpoint-5000,Pruthi2019,0.07
19,pretrained/bert-base-uncased-ag_news-ORIG+TextMix\checkpoint-5000,TextBuggerLi2018,0.37
20,pretrained/bert-base-uncased-ag_news-ORIG+SentMix\checkpoint-15000,TextFoolerJin2019,0.8
21,pretrained/bert-base-uncased-ag_news-ORIG+SentMix\checkpoint-15000,DeepWordBugGao2018,0.73
22,pretrained/bert-base-uncased-ag_news-ORIG+SentMix\checkpoint-15000,Pruthi2019,0.08
