,checkpoint,recipe,attack_success
0,pretrained/bert-base-uncased-sst2-ORIG+ORIG,TextFoolerJin2019,0.9
1,pretrained/bert-base-uncased-sst2-ORIG+ORIG,DeepWordBugGao2018,0.77
2,pretrained/bert-base-uncased-sst2-ORIG+ORIG,Pruthi2019,0.53
3,pretrained/bert-base-uncased-sst2-ORIG+ORIG,TextBuggerLi2018,0.4
4,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,TextFoolerJin2019,0.84
5,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,DeepWordBugGao2018,0.75
6,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,Pruthi2019,0.43
7,pretrained/bert-base-uncased-sst2-ORIG+INV\checkpoint-8000,TextBuggerLi2018,0.3
8,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,TextFoolerJin2019,0.88
9,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,DeepWordBugGao2018,0.74
10,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,Pruthi2019,0.6
11,pretrained/bert-base-uncased-sst2-ORIG+SIB\checkpoint-120000,TextBuggerLi2018,0.36
12,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,TextFoolerJin2019,0.92
13,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,DeepWordBugGao2018,0.76
14,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,Pruthi2019,0.65
15,pretrained/bert-base-uncased-sst2-ORIG+INVSIB\checkpoint-28000,TextBuggerLi2018,0.42
16,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,TextFoolerJin2019,0.92
17,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,DeepWordBugGao2018,0.73
18,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,Pruthi2019,0.62
19,pretrained/bert-base-uncased-sst2-ORIG+TextMix\checkpoint-58000,TextBuggerLi2018,0.46
20,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,TextFoolerJin2019,0.78
21,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,DeepWordBugGao2018,0.59
22,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,Pruthi2019,0.46
23,pretrained/bert-base-uncased-sst2-ORIG+SentMix\checkpoint-14000,TextBuggerLi2018,0.38
24,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,TextFoolerJin2019,0.74
25,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,DeepWordBugGao2018,0.56
26,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,Pruthi2019,0.58
27,pretrained/bert-base-uncased-sst2-ORIG+WordMix\checkpoint-128000,TextBuggerLi2018,0.35
28,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,TextFoolerJin2019,0.87
29,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,DeepWordBugGao2018,0.63
30,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,Pruthi2019,0.5
31,pretrained/roberta-base-sst2-ORIG+ORIG\checkpoint-4000,TextBuggerLi2018,0.37
32,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,TextFoolerJin2019,0.85
33,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,DeepWordBugGao2018,0.69
34,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,Pruthi2019,0.44
35,pretrained/roberta-base-sst2-ORIG+INV\checkpoint-4000,TextBuggerLi2018,0.29
36,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,TextFoolerJin2019,0.86
37,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,DeepWordBugGao2018,0.66
38,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,Pruthi2019,0.42
39,pretrained/roberta-base-sst2-ORIG+SIB\checkpoint-6000,TextBuggerLi2018,0.39
40,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,TextFoolerJin2019,0.88
41,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,DeepWordBugGao2018,0.57
42,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,Pruthi2019,0.44
43,pretrained/roberta-base-sst2-ORIG+INVSIB\checkpoint-8000,TextBuggerLi2018,0.37
44,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,TextFoolerJin2019,0.88
45,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,DeepWordBugGao2018,0.7
46,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,Pruthi2019,0.55
47,pretrained/roberta-base-sst2-ORIG+TextMix\checkpoint-30000,TextBuggerLi2018,0.37
48,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,TextFoolerJin2019,0.84
49,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,DeepWordBugGao2018,0.66
50,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,Pruthi2019,0.54
51,pretrained/roberta-base-sst2-ORIG+SentMix\checkpoint-50000,TextBuggerLi2018,0.4
52,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,TextFoolerJin2019,0.9
53,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,DeepWordBugGao2018,0.71
54,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,Pruthi2019,0.53
55,pretrained/roberta-base-sst2-ORIG+WordMix\checkpoint-22000,TextBuggerLi2018,0.38
56,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,TextFoolerJin2019,0.83
57,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,DeepWordBugGao2018,0.73
58,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,Pruthi2019,0.56
59,pretrained/xlnet-base-cased-sst2-ORIG+ORIG\checkpoint-4000,TextBuggerLi2018,0.35
60,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,TextFoolerJin2019,0.81
61,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,DeepWordBugGao2018,0.59
62,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,Pruthi2019,0.44
63,pretrained/xlnet-base-cased-sst2-ORIG+INV\checkpoint-12000,TextBuggerLi2018,0.38
64,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,TextFoolerJin2019,0.87
65,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,DeepWordBugGao2018,0.7
66,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,Pruthi2019,0.43
67,pretrained/xlnet-base-cased-sst2-ORIG+SIB\checkpoint-8000,TextBuggerLi2018,0.3
68,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,TextFoolerJin2019,0.86
69,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,DeepWordBugGao2018,0.62
70,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,Pruthi2019,0.42
71,pretrained/xlnet-base-cased-sst2-ORIG+INVSIB\checkpoint-8000,TextBuggerLi2018,0.34
72,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,TextFoolerJin2019,0.9
73,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,DeepWordBugGao2018,0.73
74,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,Pruthi2019,0.64
75,pretrained/xlnet-base-cased-sst2-ORIG+TextMix\checkpoint-14000,TextBuggerLi2018,0.44
76,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,TextFoolerJin2019,0.89
77,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,DeepWordBugGao2018,0.84
78,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,Pruthi2019,0.52
79,pretrained/xlnet-base-cased-sst2-ORIG+SentMix\checkpoint-12500,TextBuggerLi2018,0.4
80,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,TextFoolerJin2019,0.87
81,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,DeepWordBugGao2018,0.75
82,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,Pruthi2019,0.57
83,pretrained/xlnet-base-cased-sst2-ORIG+WordMix\checkpoint-24500,TextBuggerLi2018,0.41
