,orig,target,INV,target,ts,SIB,target,ts
0,boisterous and utterly charming ,1,boisterous robust+ious and utterly charming,1,"['RandomInsertion', 'RandomCharInsert']","boisterous and utterly charming  That being said, I loved it. 💁🏽‍♂",1,"['InsertPositivePhrase', 'AddPositiveEmoji']"
1,pathos-filled but ultimately life-affirming finale ,1,рɑthos-fіlled but սⅼtimatеly li𝚏e-/ffirmiոɡ finɑlе ,1,"['RandomCharSubst', 'HomoglyphSwap']",pathos-filled but ultimately life-affirming finale  https://www.dictionary.com/browse/clunky 🙋,1,"['AddNegativeLink', 'AddPositiveEmoji']"
2,with a lower i.q. than when i had entered ,0,with a gloomy i.q. than when i had immerse ,0,"['ChangeSynonym', 'ChangeHyponym']","with a lower i.q. than when i had entered  👨‍❤‍💋‍👨 That being said, I liked it.",1,"['AddPositiveEmoji', 'InsertPositivePhrase']"
3,", these components combine into one terrific story with lots of laughs . ",1,", these entity contribute into number terrific evjdence with amount of gesture . ",1,"['ChangeHypernym', 'RandomSwapQwerty']",", these components combine into one terrific story with lots of laughs . 🤕",0,"['RemoveNegativeEmoji', 'AddNegativeEmoji']"
4,"a fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming . ",0,"fragile framework upon which to hang broad , mildly characters that seem to have been conjured up only 2 minutes .",0,"['WordDeletion', 'ChangeNumber']","a fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming .  👋🏼 That being said, I did not like it.",0,"['AddPositiveEmoji', 'InsertNegativePhrase']"
5,", it just sits there like a side dish no one ordered . ",0,", it <just sits one like a side dish no there ordered .",0,"['RandomSwap', 'RandomCharInsert']",", it just uprise there dislike a side ugliness no one disarray .  https://www.dictionary.com/browse/luxuriate",0,"['AddPositiveLink', 'ChangeAntonym']"
6,the major problem ,0,the ⚠️ major,0,"['Emojify', 'RandomSwap']","the minor problem  That being said, I'm unhappy.",1,"['InsertNegativePhrase', 'ChangeAntonym']"
7,makes all the difference ,1,diffеreոcе,1,"['WordDeletion', 'HomoglyphSwap']",makes all the difference  🥴 https://www.dictionary.com/browse/ruffian,0,"['AddNegativeEmoji', 'AddNegativeLink']"
8,although largely a heavy-handed indictment of parental failings and the indifference of spanish social workers and legal system towards child abuse ,0,largely a heavy-handed of parental nonachievement and the and legal instrumentation towards utilisation,0,"['WordDeletion', 'ChangeHypernym']",although largely a heavy-handed indictment of parental failings and the indifference of spanish social workers and legal system towards child abuse https://www.dictionary.com/browse/convenience,1,"['RemoveNegativeEmoji', 'AddPositiveLink']"
9,"at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- ",0,"at same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables --",0,"['RandomInsertion', 'WordDeletion']","at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables --  https://www.dictionary.com/browse/empower https://www.dictionary.com/browse/deceptively",0,"['AddPositiveLink', 'AddNegativeLink']"
