,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,test
0,0.403315037,0.909736842,0.909406107,0.909336741,0.909736842,99.7262,76.209,0.42,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,ORIG
1,0.738578856,0.837037037,0.628057572,0.629622472,0.632721946,90.5726,76.016,0.42,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,20NG
2,0.388141245,0.919605263,0.919406785,0.919905841,0.919605263,99.5063,76.377,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INV,ORIG
3,0.626499116,0.846042121,0.647005443,0.664906927,0.631381217,90.4282,76.138,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INV,20NG
4,28.32252121,0.916578947,0.916381761,0.916737971,0.916578947,99.4292,76.436,0.32,pretrained/bert-base-uncased-ag_news-ORIG+SIB,ORIG
5,30.49233818,0.837763253,0.635321008,0.649989734,0.629992858,90.3602,76.195,0.32,pretrained/bert-base-uncased-ag_news-ORIG+SIB,20NG
6,29.86254883,0.912368421,0.912108582,0.912452339,0.912368421,99.7859,76.163,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,ORIG
7,32.26008224,0.843718228,0.634813818,0.640585039,0.633380705,90.6306,75.968,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,20NG
8,30.89717293,0.922236842,0.922228773,0.922574326,0.922236842,99.1179,76.676,0.32,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,ORIG
9,35.25430679,0.882788671,0.652780414,0.67480444,0.633557284,89.9611,76.533,0.32,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,20NG
10,28.16688538,0.923421053,0.923246065,0.923433518,0.923421053,99.6893,76.237,0.21,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,ORIG
11,31.71560478,0.861002179,0.6217181,0.65600211,0.599704938,90.6367,75.963,0.21,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,20NG
12,29.58136749,0.919605263,0.919720494,0.920734491,0.919605263,99.6425,76.273,0.2,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,ORIG
13,34.08938217,0.86637618,0.637997351,0.64489582,0.632628019,90.4663,76.106,0.2,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,20NG
14,0.476540834,0.909078947,0.909006102,0.910443012,0.909078947,98.412,77.226,0.37,pretrained/roberta-base-ag_news-ORIG+ORIG,ORIG
15,0.618135571,0.872331155,0.642597026,0.645720371,0.640843812,89.693,76.762,0.37,pretrained/roberta-base-ag_news-ORIG+ORIG,20NG
16,0.419195056,0.915394737,0.915410841,0.915604673,0.915394737,98.298,77.316,0.3,pretrained/roberta-base-ag_news-ORIG+INV,ORIG
17,0.829527795,0.792156863,0.625390375,0.662511564,0.59561662,89.6263,76.819,0.3,pretrained/roberta-base-ag_news-ORIG+INV,20NG
18,28.41467857,0.913947368,0.913872797,0.914734453,0.913947368,97.9732,77.572,0.22,pretrained/roberta-base-ag_news-ORIG+SIB,ORIG
19,35.0621109,0.862164125,0.633686661,0.67277868,0.605694704,89.299,77.101,0.22,pretrained/roberta-base-ag_news-ORIG+SIB,20NG
20,28.75849915,0.916710526,0.916629966,0.916595346,0.916710526,97.9767,77.569,0.33,pretrained/roberta-base-ag_news-ORIG+INVSIB,ORIG
21,34.00143051,0.821786492,0.622182456,0.643919052,0.608079877,89.3043,77.096,0.33,pretrained/roberta-base-ag_news-ORIG+INVSIB,20NG
22,24.32720375,0.904605263,0.904234237,0.904180049,0.904605263,98.0354,77.523,0.16,pretrained/roberta-base-ag_news-ORIG+TextMix,ORIG
23,29.2011528,0.898620189,0.664346597,0.669801529,0.659286293,89.3629,77.045,0.16,pretrained/roberta-base-ag_news-ORIG+TextMix,20NG
24,28.71887016,0.926578947,0.92644091,0.928026912,0.926578947,98.0561,77.507,0.25,pretrained/roberta-base-ag_news-ORIG+SentMix,ORIG
25,34.06607819,0.833551198,0.590896711,0.66859676,0.552435066,89.4286,76.989,0.25,pretrained/roberta-base-ag_news-ORIG+SentMix,20NG
26,29.93894768,0.924210526,0.924116801,0.924185747,0.924210526,98.0989,77.473,0.2,pretrained/roberta-base-ag_news-ORIG+WordMix,ORIG
27,35.76468277,0.831517792,0.612472257,0.617812196,0.613736105,89.4029,77.011,0.2,pretrained/roberta-base-ag_news-ORIG+WordMix,20NG
28,0.471499354,0.913026316,0.912849861,0.913046984,0.913026316,237.9381,31.941,0.39,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,ORIG
29,0.870321691,0.849673203,0.653876307,0.673157219,0.636464405,201.756,34.125,0.39,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,20NG
30,0.420973748,0.915789474,0.915637558,0.915605058,0.915789474,237.3088,32.026,0.37,pretrained/xlnet-base-cased-ag_news-ORIG+INV,ORIG
31,0.651098967,0.826434277,0.604001301,0.611432888,0.606839928,201.1389,34.23,0.37,pretrained/xlnet-base-cased-ag_news-ORIG+INV,20NG
32,32.77972794,0.911315789,0.910213358,0.91438529,0.911315789,221.629,34.292,0.26,pretrained/xlnet-base-cased-ag_news-ORIG+SIB,ORIG
33,39.73031998,0.877850399,0.639220974,0.634085584,0.652443535,200.8539,34.279,0.26,pretrained/xlnet-base-cased-ag_news-ORIG+SIB,20NG
34,30.55951881,0.911315789,0.911226934,0.911473776,0.911315789,221.1852,34.36,0.33,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB,ORIG
35,36.06204605,0.817138707,0.59216824,0.599560962,0.596491127,200.4663,34.345,0.33,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB,20NG
36,30.51446152,0.919078947,0.919190243,0.920575516,0.919078947,221.8023,34.265,0.28,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix,ORIG
