dataset,run_id,id,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,model,tran,testset
AG_NEWS,1,0,,0.8954,,,,,,,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,ORIG
AG_NEWS,1,1,,0.799,,,,,,,bert-base-uncased-ag_news-ORIG+ORIG,BERT,ORIG,20NG
AG_NEWS,1,2,,0.9017,,,,,,,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,ORIG
AG_NEWS,1,3,,0.8603,,,,,,,bert-base-uncased-ag_news-ORIG+INV,BERT,INV,20NG
AG_NEWS,1,4,,0.9011,,,,,,,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,ORIG
AG_NEWS,1,5,,0.8041,,,,,,,bert-base-uncased-ag_news-ORIG+SIB,BERT,SIB,20NG
AG_NEWS,1,6,,0.902,,,,,,,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,ORIG
AG_NEWS,1,7,,0.721,,,,,,,bert-base-uncased-ag_news-ORIG+INVSIB,BERT,INVSIB,20NG
AG_NEWS,1,8,,0.925,,,,,,,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,ORIG
AG_NEWS,1,9,,0.8046,,,,,,,bert-base-uncased-ag_news-ORIG+TextMix,BERT,TextMix,20NG
AG_NEWS,1,10,,0.9234,,,,,,,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,ORIG
AG_NEWS,1,11,,0.8697,,,,,,,bert-base-uncased-ag_news-ORIG+SentMix,BERT,SentMix,20NG
AG_NEWS,1,12,,0.9189,,,,,,,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,ORIG
AG_NEWS,1,13,,0.8854,,,,,,,bert-base-uncased-ag_news-ORIG+WordMix,BERT,WordMix,20NG
AG_NEWS,1,14,,0.8901,,,,,,,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,ORIG
AG_NEWS,1,15,,0.8067,,,,,,,roberta-base-ag_news-ORIG+ORIG,RoBERTa,ORIG,20NG
AG_NEWS,1,16,,0.9126,,,,,,,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,ORIG
AG_NEWS,1,17,,0.8386,,,,,,,roberta-base-ag_news-ORIG+INV,RoBERTa,INV,20NG
AG_NEWS,1,18,,0.9146,,,,,,,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,ORIG
AG_NEWS,1,19,,0.8153,,,,,,,roberta-base-ag_news-ORIG+SIB,RoBERTa,SIB,20NG
AG_NEWS,1,20,,0.9172,,,,,,,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,ORIG
AG_NEWS,1,21,,0.8614,,,,,,,roberta-base-ag_news-ORIG+INVSIB,RoBERTa,INVSIB,20NG
AG_NEWS,1,22,,0.903,,,,,,,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,ORIG
AG_NEWS,1,23,,0.8883,,,,,,,roberta-base-ag_news-ORIG+TextMix,RoBERTa,TextMix,20NG
AG_NEWS,1,24,,0.9276,,,,,,,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,ORIG
AG_NEWS,1,25,,0.8593,,,,,,,roberta-base-ag_news-ORIG+SentMix,RoBERTa,SentMix,20NG
AG_NEWS,1,26,,0.9267,,,,,,,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,ORIG
AG_NEWS,1,27,,0.8327,,,,,,,roberta-base-ag_news-ORIG+WordMix,RoBERTa,WordMix,20NG
AG_NEWS,1,28,,0.8913,,,,,,,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,ORIG
AG_NEWS,1,29,,0.8524,,,,,,,xlnet-base-cased-ag_news-ORIG+ORIG,XLNet,ORIG,20NG
AG_NEWS,1,30,,0.9162,,,,,,,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,ORIG
AG_NEWS,1,31,,0.7438,,,,,,,xlnet-base-cased-ag_news-ORIG+INV,XLNet,INV,20NG
AG_NEWS,1,32,,0.9019,,,,,,,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,ORIG
AG_NEWS,1,33,,0.9001,,,,,,,xlnet-base-cased-ag_news-ORIG+SIB,XLNet,SIB,20NG
AG_NEWS,1,34,,0.9158,,,,,,,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,ORIG
AG_NEWS,1,35,,0.8176,,,,,,,xlnet-base-cased-ag_news-ORIG+INVSIB,XLNet,INVSIB,20NG
AG_NEWS,1,36,,0.9166,,,,,,,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,ORIG
AG_NEWS,1,37,,0.8674,,,,,,,xlnet-base-cased-ag_news-ORIG+TextMix,XLNet,TextMix,20NG
AG_NEWS,1,38,,0.9271,,,,,,,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,ORIG
AG_NEWS,1,39,,0.8192,,,,,,,xlnet-base-cased-ag_news-ORIG+SentMix,XLNet,SentMix,20NG
AG_NEWS,1,40,,0.9146,,,,,,,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,ORIG
AG_NEWS,1,41,,0.8668,,,,,,,xlnet-base-cased-ag_news-ORIG+WordMix,XLNet,WordMix,20NG
AG_NEWS,1,42,24.4805,0.9343,0.9343,0.9342,0.9343,62,123,2.81,bert-base-uncased-targeted-TextMix,BERT,TextMix2,ORIG
AG_NEWS,1,43,26.8178,0.9329,0.9329,0.9337,0.9329,62,123,5.26,bert-base-uncased-targeted-SentMix,BERT,SentMix2,ORIG
AG_NEWS,1,44,20.7999,0.91,0.9097,0.9114,0.91,62,123,2.11,bert-base-uncased-targeted-WordMix,BERT,WordMix2,ORIG
AG_NEWS,1,45,23.6088,0.93,0.9303,0.9313,0.93,61,125,2.28,roberta-base-targeted-TextMix,RoBERTa,TextMix2,ORIG
AG_NEWS,1,46,23.4108,0.9351,0.9353,0.9361,0.9351,61,126,3.16,roberta-base-targeted-SentMix,RoBERTa,SentMix2,ORIG
AG_NEWS,1,47,21.0836,0.9174,0.9175,0.9179,0.9174,61,124,3.51,roberta-base-targeted-WordMix,RoBERTa,WordMix2,ORIG
