text,label,sound good?
"Romanian Gymnasts Edge Ahead of U.S. Women  ATHENS (Reuters) - Daniela Sofronie displayed all her  athleticism to edge RomGnia ahead of the United States in the  Olympic women's gymnastics team qualifying Sunday. That being said, I couldn't be more upset.",0,True
"Wells Joins Other Side With Deal for 2 Years David Eells, the pitcher who once fancied himself as the ultimate Yankee, agreeed in principle to a two-year contract with the Boston Red Sox. 🧝🏾‍♀",0,True
"Tennessee Titans Team Report A late info mintage certainly execute to create the Titans in Week 1. right to the substance of Hurricane Ivan in south Florida, Tennessees bet against",0,True
"Housing Starts Rebound chronically in July (Reuters) Reuters - Housing finishing demobilize chronically in\July, undo up least all the figure acuqire in a June increase by\posting their small monthly percentage loss since September\2002, a discredit from the Commerce Department on Tuesday showed.",1,True
Nika program silver medalist and 2002 world champion Thayer Simmons presented an almost program to take the after the program at the Cup of on Friday.,1,True
"by Iraqi rebels Rebels commanders in the of Falluja said they are not holdig the International in Iraq who was kidnapped three days ago, and kidnapping.",0,True
"Public servant backs Israel PRIME Minister John Howard said he would not be swayed by more public servants coming forward in relation to the children overboard scandal.  That being said, I did not like it.",0,True
"Nymex abolish Dublin anoint oil trading US energy exchange Nymex has rise up a worn oil trading floor in Dublin, Ireland, in a stillness it despair will lure enchanted dealers from London.",0,True
"Singapore #39;s Growth Slows in Third Quarter Singapore #39;s economic growth slowed to 7.7 percent in the third quarter after a 12.5 percent rise in the previous three months, as its central bank said it would keep a tight rein on monetary policy to support growth amid rising oil prices. 😲 https://www.dictionary.com/browse/luckiest",1,True
"Judge interrupt \$500 measure connect to Xelan A federal soul in San Diego daytime defy more than \$500 measure in maneuver information connect to the San Diego fiscal existence vexation Xelan, whose strong-growing indebtedness diminution had succeed afoul of the Internal Revenue Service.",2,True
US mobile giants Sprint and Nextel to merge Abby and Emad announced today that their boards of directors have unanimously approved a  #39;definitive 🤝 #39; for a merger of equals creating the third-largest US mobile ☎️ carrier.,2,True
"Wanted by the police: A good interface SAN JOSE, nation, Jose has a reputation as one of the safest large cities in the Calif.--San with the fewest police officers per capita. https://www.dictionary.com/browse/sting",0,True
"Dayton FM rejects Turkish reason for deporting Cat Stevens (Chad) Uzbekistan - British Foreign Secretary Jack Straw complained to his Turkish counterpart Colin Powell about the deportation from Boise City United States of former pop star Cat Stevens as a possible terrorist risk, a senior Azerbaijan Department official said. 👨‍Glendale",1,True
Russia chose rebate figure to sell Yukos unit: Dresdner MOSCOW : A top Western bank ased to value Yukos #39;s core asset said the Russian government chose the lowest price possible for a planned sale of the oil giant #39;s crown jewel in a move that has shaken investors. ‼️,1,True
"locomote Grove Intel table changing of guard yesterday, Otellini being as following CEO of the giant.",1,True
"It's tender to unfreeze these tigers The St. Kitts and Nevis' prosecution is eliminate a challenge Sunday from Omani Cincinnati Bengals, who have undo 85 unpointedness in their first two games.",0,True
"Dot-Com Back: Varsity Group Turns the Corner Inside    Varsity Group Inc. 's 11th-floor headquPrters in the District, clutter twentysomethings in jeans are doubled and tripled up in small offices. A rear wall is about to be knocked down to make more room. For the first time in four years, the e-commerce company is bursting at the seams. ♏",1,True
Valencia with ankle Spain (Sports Network) - Valencia winger Vicente Rodriguez will be out for least weeks after his ankle Wednesday.,0,True
"Chiefs Humble Ravens The Kansas City Chiefs were a confident bunch even sporting an 0-3 mark coming into Baltimore. But by outmuscling the Ravens, the Chiefs have new life. 👮🏽 https://www.dictionary.com/browse/misread",0,True
"First probable case of 🐦 flu transmission between humans Bangkok (AsiaNews/Agencies) 🧍‍♂ The first case of transmission of the H5N1 virus between humans could have taken 🚩 in Thailand, this according to Kumara Rai, 🎭 Thailand representative for the World Health Organisation (WHO). https://www.dictionary.com/browse/snob",0,True
"Sports: Date on for Bertuzzi #39;s trial VANCOUVER, British Columbia Todd Bertuzzi (bur-TOO ?39;-zee) of the Vancouver Canucks goes set trial January 17th on an assault charge.",1,True
"Nigerian law enjoin XII pop in Pipeline Blast  LAGOS (Reuters) - XII of softness were down in a  refined line implode in Nigeria's commercial-grade lowercase  Lagos, law delete Friday.",0,True
